A_INT_id	A_INT_hero_id	A_INT_need_level	A_INT_node_type	A_ARR_cost	A_ARR_camp_att
cs	cs	cs	cs	cs	cs
int	int	int	int	ext[]	ext[]
Id	HeroId	NeedLevel	NodeType	Cost	CampAtt
					
				TypIDVal_P_cspb	Effect_P
节点编号(英雄真实ID*100+序号)	所属SSR英雄真实ID	解锁需求战魂等级	节点类型 1普通(达级自动生效) 2阶段(需消耗道具)	阶段节点解锁消耗	阵营属性(加给该SSR所在阵营的全部英雄)
					
					
3201	32	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
3202	32	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
3203	32	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
3204	32	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
3205	32	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
3501	35	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
3502	35	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
3503	35	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
3504	35	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
3505	35	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
4201	42	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
4202	42	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
4203	42	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
4204	42	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
4205	42	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
4901	49	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
4902	49	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
4903	49	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
4904	49	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
4905	49	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
5101	51	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
5102	51	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
