A_INT_id	A_INT_level_group	A_INT_level	A_INT_need_exp	A_ARR_hero_att
cs	cs	cs	cs	cs
int	int	int	long	ext[]
Id	LevelGroup	Level	NeedExp	HeroAtt
				
				Effect_P
编号(等级组*1000+等级)	战魂等级组	战魂等级	升到下一级所需战魂经验	该等级提供的英雄属性(只加给该SSR)
				
				
1001	1	1	1000	"[{""typ"":""buff"",""id"":40111,""val"":100}]"
1002	1	2	2000	"[{""typ"":""buff"",""id"":40111,""val"":200}]"
1003	1	3	3000	"[{""typ"":""buff"",""id"":40111,""val"":300}]"
1004	1	4	4000	"[{""typ"":""buff"",""id"":40111,""val"":400}]"
1005	1	5	5000	"[{""typ"":""buff"",""id"":40111,""val"":500}]"
1006	1	6	6000	"[{""typ"":""buff"",""id"":40111,""val"":600}]"
1007	1	7	7000	"[{""typ"":""buff"",""id"":40111,""val"":700}]"
1008	1	8	8000	"[{""typ"":""buff"",""id"":40111,""val"":800}]"
1009	1	9	9000	"[{""typ"":""buff"",""id"":40111,""val"":900}]"
1010	1	10	10000	"[{""typ"":""buff"",""id"":40111,""val"":1000}]"
1011	1	11	11000	"[{""typ"":""buff"",""id"":40111,""val"":1100}]"
1012	1	12	12000	"[{""typ"":""buff"",""id"":40111,""val"":1200}]"
1013	1	13	13000	"[{""typ"":""buff"",""id"":40111,""val"":1300}]"
1014	1	14	14000	"[{""typ"":""buff"",""id"":40111,""val"":1400}]"
1015	1	15	15000	"[{""typ"":""buff"",""id"":40111,""val"":1500}]"
1016	1	16	16000	"[{""typ"":""buff"",""id"":40111,""val"":1600}]"
1017	1	17	17000	"[{""typ"":""buff"",""id"":40111,""val"":1700}]"
1018	1	18	18000	"[{""typ"":""buff"",""id"":40111,""val"":1800}]"
1019	1	19	19000	"[{""typ"":""buff"",""id"":40111,""val"":1900}]"
1020	1	20	20000	"[{""typ"":""buff"",""id"":40111,""val"":2000}]"
1021	1	21	21000	"[{""typ"":""buff"",""id"":40111,""val"":2100}]"
1022	1	22	22000	"[{""typ"":""buff"",""id"":40111,""val"":2200}]"
1023	1	23	23000	"[{""typ"":""buff"",""id"":40111,""val"":2300}]"
1024	1	24	24000	"[{""typ"":""buff"",""id"":40111,""val"":2400}]"
1025	1	25	25000	"[{""typ"":""buff"",""id"":40111,""val"":2500}]"
1026	1	26	26000	"[{""typ"":""buff"",""id"":40111,""val"":2600}]"
1027	1	27	27000	"[{""typ"":""buff"",""id"":40111,""val"":2700}]"
1028	1	28	28000	"[{""typ"":""buff"",""id"":40111,""val"":2800}]"
1029	1	29	29000	"[{""typ"":""buff"",""id"":40111,""val"":2900}]"
1030	1	30	30000	"[{""typ"":""buff"",""id"":40111,""val"":3000}]"
