A_INT_id	A_INT_hero_id	A_INT_need_node_count	A_ARR_reward
cs	cs	cs	cs
int	int	int	ext[]
Id	HeroId	NeedNodeCount	Reward
			
			TypIDVal_P_cspb
奖励编号(英雄真实ID*100+序号)	所属SSR英雄真实ID	已解锁阵营节点数量要求	达成后可领取的奖励
			
			
3201	32	3	[]
3202	32	5	[]
3501	35	3	[]
3502	35	5	[]
4201	42	3	[]
4202	42	5	[]
4901	49	3	[]
4902	49	5	[]
5101	51	3	[]
5102	51	5	[]
5201	52	3	[]
5202	52	5	[]
5301	53	3	[]
5302	53	5	[]
5401	54	3	[]
5402	54	5	[]
5501	55	3	[]
5502	55	5	[]
5601	56	3	[]
5602	56	5	[]
5701	57	3	[]
5702	57	5	[]
5801	58	3	[]
5802	58	5	[]
6401	64	3	[]
6402	64	5	[]
6501	65	3	[]
6502	65	5	[]
